标签,,动态规划、位运算、哈希、数学、双指针、三指针、枚举、众数、线性表、二进制,,,,,,,,,,,,,,,,,,,,,,,,,,
,,广度优先搜索、深度优先搜索、回溯算法、分治算法、贪心算法、构造算法,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二分查找、排序、桶排、拓扑排序、快排、堆排、优先队列、队列、分块,,,,,,,,,,,,,,,,,,,,,,,,,,
,,并查集、主席树、树状数组、字典树、平衡树、线段树、树链剖分、图、线性表、数组、可持久化、字典、栈、生成树、最近公共祖先,,,,,,,,,,,,,,,,,,,,,,,,,,
,,裴属定理、AC自动机、几何、滑动窗口、强连通分量、sap、搜索、邻接矩阵、bit magic、splay,,,,,,,,,,,,,,,,,,,,,,,,,,
题目ID,,题目名称,所属类别,标签一,标签二,标签三,难度,,,,,,,,,,,,,,,,,,,,,
2751,,01矩阵,查找算法,广度优先搜索,动态规划,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2899,,4的幂,数字操作,位运算,数学,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2374,,按频率对数组元素排序,数组,哈希,排序,,geeksforgeeks中等,,,,,,,,,,,,,,,,,,,,,
2498,,按奇偶排序数组,数组,快排,双指针,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2926,,波利卡普的口袋,数组,枚举,桶排,众数,洛谷入门,,,,,,,,,,,,,,,,,,,,,
2670,,补码,线性表,位运算,,,geeksforgeeks简单,,,,,,,,,,,,,,,,,,,,,
2418,,不浪费原料的汉堡制作方案,数字操作,数学,贪心算法,二分查找,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2734,,采花,树结构,主席树,树状数组,排序,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2678,,查找设置位的位置,线性表,位运算,,,简单,,,,,,,,,,,,,,,,,,,,,
2583,,丑数 III,数字操作,二分查找,三指针,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2903,,串联字符串的最大长度,数组,回溯算法,深度优先搜索,位运算,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2626,,戳气球,数字操作,分治算法,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2714,,词语接龙游戏,树结构,动态规划,,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2591,,从属之数,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2767,,达到指定分数,线性表,动态规划,,,简单,,,,,,,,,,,,,,,,,,,,,
2709,,打砖块,查找算法,并查集,,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2882,,单峰数组,数组,分治算法,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2914,,单推,数组,枚举,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2754,,地图分析,图结构,广度优先搜索,动态规划,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2717,,等式方程的可满足性,查找算法,并查集,图,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2609,,第K个不同元素,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2307,,多数元素,数组,位运算,分治算法,哈希,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2726,,二叉树的最小深度,查找算法,广度优先搜索,深度优先搜索,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2606,,二分查找,查找算法,二分查找,双指针,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2905,,二进制链表转整数,线性表,位运算,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2672,,反转位,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2927,,范围技能,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2580,,范围求和 II,数字操作,数学,贪心算法,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2587,,访问所有点的最小时间,数字操作,数学,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2414,,飞机座位分配概率,数字操作,动态规划,数学,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2612,,非重合点对,数字操作,哈希,数学,,geeksforgeeks中等,,,,,,,,,,,,,,,,,,,,,
2922,,菲利亚的作业,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2965,,复制粘贴,字符串,动态规划,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2660,,高级打印机,树结构,主席树,可持久化,,洛谷省选-,,,,,,,,,,,,,,,,,,,,,
2625,,给表达式添加运算符,数字操作,分治算法,回溯算法,深度优先搜索,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2779,,购买数组,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2525,,规划兼职工作,查找算法,二分查找,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2885,,合并数组,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2534,,合并K个排序数组,排序算法,分治算法,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2176,,后缀排序,数组,排序,,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2878,,花园浇花,数组,数组,,,简单,,,,,,,,,,,,,,,,,,,,,
2871,,划分三人团队,数组,数组,,,简单,,,,,,,,,,,,,,,,,,,,,
2335,,坏了的计算器,数字操作,数学,贪心算法,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2744,,回文串,树结构,哈希,字典树,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2719,,会场预约,树结构,平衡树,树状数组,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2881,,绘制水晶矿,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2766,,火柴游戏,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2628,,积分点数,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,级数破解,,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2768,,计数可被M整除的数字,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,计算子序列,,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,检查好数组,,数学,裴属定理,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2544,,检查两个线段是否相交,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2775,,检查三个连续数字,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2771,,检查数字是否为完全平方,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2718,,交换字符串中的元素,数组,并查集,桶排,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2901,,交替位二进制数,数字操作,位运算,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2930,,局部极值,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2571,,矩形区域不超过 K 的最大数值和,查找算法,二分查找,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2773,,矩阵中的最长递增路径,查找算法,深度优先搜索,拓扑排序,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2582,,绝对值表达式的最大值,数字操作,位运算,数学,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2742,,可持久化平衡树,树结构,线段树,平衡树,深度优先搜索,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2541,,课程表,查找算法,深度优先搜索,广度优先搜索,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2765,,利率问题,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2776,,连接词,树结构,深度优先搜索,字典树,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2526,,两棵二叉搜索树中的所有元素,排序算法,排序,深度优先搜索,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2917,,曼哈顿距离和欧式距离,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2973,,密文搜索,字符串,二分查找,排序,,蓝桥杯,,,,,,,,,,,,,,,,,,,,,
2712,,模式串,树结构,字典树,AC自动机,,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2663,,模式识别,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2627,,魔盒,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2528,,排序数组,数组,排序,堆排,快排,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2891,,平等日,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2879,,铺设沥青,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2620,,前n个自然数的第五次幂的和,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2707,,情侣牵手,查找算法,贪心算法,并查集,图,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2777,,求中位数,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2737,,求众数,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2913,,全为零的数组,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2538,,缺失的第一个正数,排序算法,数组,,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2594,,任何两个相同字符之间的最大字符数,线性表,字典,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2704,,冗余连接,图结构,深度优先搜索,并查集,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2989,,三个字符串的排序,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2574,,山洞石刻,线性表,线性表,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2748,,删除无效的括号,查找算法,广度优先搜索,深度优先搜索,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2864,,删除元素,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2869,,删除重复元素,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2916,,删去它,数组,数组,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2476,,绳索的最低成本,线性表,贪心算法,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2588,,史密斯数,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2510,,树链剖分,树结构,树链剖分,,,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2749,,树上后缀排序,树结构,倍增,后缀数组,,省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2772,,数的立方根,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2953,,数字对,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2895,,数字范围按位与,数字操作,位运算,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2780,,数组乘法的余数,线性表,线性表,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2537,,数组中的第K个最大元素,查找算法,分治算法,快排,堆排,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2902,,水晶矿,树结构,模拟,字符串,,入门,,,,,,,,,,,,,,,,,,,,,
2743,,松鼠的新家,树结构,线段树,最近公共祖先,树链剖分,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2452,,搜索二维矩阵,数字操作,二分查找,双指针,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2925,,隧道超车,数组,排序,双指针,,codeForces,,,,,,,,,,,,,,,,,,,,,
2581,,逃脱阻碍者,数字操作,数学,曼哈顿距离,贪心算法,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2886,,袜子配对,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2769,,网格中的最短路径,查找算法,广度优先搜索,深度优先搜索,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2752,,为高尔夫比赛砍树,查找算法,广度优先搜索,优先队列,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2624,,为运算表达式设计优先级,数字操作,分治算法,动态规划,深度优先搜索,leetcode中等,,,,,,,,,,,,,,,,,,,,,
